feature_ids	Ath_WT_R1_expression	Ath_WT_R2_expression	Ath_hy5_R1_expression	Ath_hy5_R2_expression
AT2G21385	1.7524064012612321	2.408957278996973	4.79821056403977	5.099152703072625
AT2G21380	0.0	0.6632970599175259	2.7918743439958043	2.754159707921755
AT1G17330	0.0	0.0	2.5364591978157445	3.798758688168655
AT3G23070	1.5708143582710352	1.454668431515891	4.3646349613013475	4.561449582873673
AT5G25060	1.7911867156575303	1.968929023920027	3.8008052201188924	3.685765075725922
AT3G04340	2.0527772291364887	2.323345027406386	4.552437619178249	4.415853117098373
AT4G33560	6.298435235871501	6.175540529375421	4.374366157441822	3.923803972919511
AT4G02270	6.8681178258762925	6.899598946134945	4.466598137536024	4.738915644971687
AT4G04840	5.301779830584319	5.14744726929989	0.0	2.8435532164674635
AT5G53440	2.1884256886267264	2.2761158790830116	4.2089784839510065	4.119322940626848
AT3G21250	2.4325653021003912	1.9926285929547625	4.208370835468637	4.501344450884467
AT1G47395	5.061313348800038	5.079910035461566	2.7742322962395347	2.6760879479351596
AT1G67120	0.218251242341564	0.14435357827476383	1.4369953489387834	1.4523657903056482
AT5G62530	0.0	0.0	3.587386921695584	3.979439391295371
AT5G22080	2.634395775461687	2.4836912841994288	4.281966661205868	5.313953713534899
AT1G60200	1.6688512040101515	1.4303578838342292	4.258433153795959	4.345119733137807
AT3G61800	0.3329328622688871	0.7600475936906647	2.3442648948025124	2.5902919468706767
AT1G03910	1.5369013111811025	2.346065877493125	4.194021918058989	4.046006560389709
AT3G07160	1.4193736957639984	1.1573597302263008	2.6810630518732284	3.3131911059003003
AT2G39260	1.7442836602761527	1.965165340151358	3.4969347704557165	3.9184725277122694
AT1G16710	0.21880879165038827	0.9684865141389647	2.277992722994355	2.6032642743237635
AT1G11720	1.6324991038164292	1.1784127615807707	3.5731838845383432	3.9386138973045735
AT1G21250	1.271290995071721	1.6069733933515487	5.050391386579557	5.293366973494683
AT1G10450	0.0	0.0	1.3903902745577035	1.9739425930368368
AT2G45180	12.073884367998195	12.053604253093486	10.014687882070275	10.145644132656884
AT1G24706	1.3391282586882618	1.0366721438495532	3.2116484616916816	2.8082222815522817
AT2G03870	5.145972034852866	5.600095624365502	3.4790794068622097	0.0
AT3G05270	0.8072907891126223	1.2638725574351046	3.5679835176281176	3.529744717426677
AT1G70610	0.0	0.0	3.6971077219922117	3.992255182734592
AT1G62740	2.4113518920809294	2.1769789686390024	4.564824670604157	4.562167114352015
AT1G02890	1.7190463424398221	2.7064800306123122	4.615377306157527	4.041814124619306
AT4G08310	0.0	0.0	3.401775117280077	4.028766091661327
AT1G20920	2.544021921174908	2.726844693258998	5.352000545972687	5.623589080376452
AT3G49140	1.715426686446987	3.086470529816066	4.884714380786123	4.4341210905662525
AT3G11120	10.202560307727742	10.297138344241842	7.997108869446799	7.969745407888173
AT4G24680	2.2737467057018637	1.966347661293699	3.9512444475526816	3.9745103932884667
AT5G23510	0.0	0.0	3.3112024625025023	3.4868509535579446
AT1G32928	5.342571020342378	5.669359487346186	3.334406708659533	3.668967431793268
AT1G49010	3.8994272298944037	3.2448492800007926	5.409351321690714	5.872285895012488
AT5G15960	4.668861476599212	3.0655366132152633	0.0	0.0
AT1G63460	4.821592546157273	4.199177017225162	0.0	0.0
AT1G03080	1.3403561602019056	1.9807235719552037	3.799691448296386	3.9208852613302843
AT3G48670	0.0	0.0	3.3547143446272436	3.581014887915899
AT3G20150	0.0	0.0	1.7167878389101383	1.7606813729409552
AT4G17330	1.6956157416943558	2.179894303679835	4.4074729007241915	4.552673213654856
AT3G25840	2.7093806836703784	2.814056120440711	5.204509851979204	5.078600571019924
AT4G14010	6.751277520933107	6.9013739471309625	4.463984205101839	4.1125448305645715
AT1G18370	0.0	0.8669109632159592	2.644370084449533	2.6975979941055486
AT2G39340	1.5280215685431953	1.2441579013560584	3.2325075473099525	3.512650185060091
AT1G62850	0.0	0.0	3.2787376510681017	3.054723869524788
AT3G62040	0.0	2.8596296074199934	4.911423757841341	5.244887541600337
AT5G65210	2.897817104680536	2.106381815779772	4.767022626598875	4.8977766755049394
AT3G06895	10.695938327968092	10.494936947768743	8.001265394387193	7.97338676020746
AT2G05440	10.969615543515962	10.851995957539403	8.283495803743481	8.213502584785642
AT5G04140	6.243945614235846	6.543132183644833	8.414172433042337	8.456492502031507
AT1G33410	0.0	0.9847817126294675	2.335624308039634	2.6979137413558316
AT5G56870	2.496550199991234	2.5185701601448525	4.116206860587106	4.783929920147538
AT4G10930	0.0	0.0	2.574437172363847	1.9277032848034676
AT3G54280	1.1328544148894217	0.88085321613482	2.7197595815299676	2.9104608395824103
AT3G01370	2.7277788770597526	1.8833456171416811	4.509467915243446	4.441294195086316
AT4G33270	1.4901584708467015	2.002446384738628	4.1069724075040455	3.942901873806939
AT5G43370	4.77592908800717	4.891168736580614	0.0	0.0
AT4G36980	1.9416479660511792	1.6097929459108848	4.944476007861214	5.104039623110509
AT5G16210	1.096964368877296	1.0698308531779572	3.05399824706233	2.9259034767289434
AT4G24190	4.559640888087713	4.372826751681798	6.7756032904209675	6.966116937532957
AT5G10140	3.5664252408101804	3.2940932979246713	0.0	0.0
AT1G58025	1.9778004046144317	0.0	3.7650965523549678	3.9818725636040764
AT1G65370	0.0	1.6278828515767538	4.151719392821604	4.266199447138105
AT1G80790	1.0198134796983003	0.9129231529901892	4.011392113585837	4.394828133677109
AT4G39050	0.9822515741080186	1.212785959557606	2.7931561779348817	3.2141816577922997
AT3G11710	3.4395644950679665	3.3201970038093034	5.329892294102122	5.651329460496685
AT3G57300	0.5083589108422223	0.7488607196985587	3.1073887291126057	2.8388667600935364
AT5G27950	1.5832726017674597	1.0961426062204225	3.7235553120832994	3.4291560733969573
AT3G19508	4.833876008083706	5.271949401600425	0.0	0.0
AT2G43520	5.652364216905192	5.770696906610125	3.6157119358636574	3.637749128595754
AT1G30410	0.4705137836940018	0.2818129585024299	2.5786348363101386	2.506196759326333
AT4G16660	1.7602643442955184	1.3439072785563246	3.8193420017815187	3.422767119054617
AT5G42110	8.150821395001854	8.363441302801062	6.079770114654907	6.306130290787047
AT3G61140	2.491156589961249	1.9801915583946677	4.366249359838037	4.541420493289
AT3G13225	0.9569605041534582	0.7431514187322644	2.861862938833085	3.072243136914683
AT3G16340	0.28375897011081114	0.30266130285717563	2.4812605324281463	2.351741512900824
AT5G66030	1.6698040157897218	2.0429521117159086	3.964853786028082	3.9387475987337592
AT1G74250	1.8502764130465326	2.2586417532571117	4.646197838838249	4.733886651318643
